rasn,prefix,as_path
1301,1.2.0.0/16,"(1301, 6939, 2152, 25)"
1303,1.2.0.0/16,"(1303, 2200, 49544, 2152, 25)"
1307,1.2.0.0/16,"(1307, 2200, 49544, 2152, 25)"
1311,1.2.0.0/16,"(1311, 174, 10886, 27)"
1312,1.2.0.0/16,"(1312, 396450, 2152, 25)"
1313,1.2.0.0/16,"(1313, 3356, 10886, 27)"
1315,1.2.0.0/16,"(1315, 11320, 286, 42, 10886, 27)"
1323,1.2.0.0/16,"(1323, 701, 3257, 10886, 27)"
1325,1.2.0.0/16,"(1325, 701, 3257, 10886, 27)"
1326,1.2.0.0/16,"(1326, 701, 3257, 10886, 27)"
1341,1.2.0.0/16,"(1341, 3257, 10886, 27)"
1342,1.2.0.0/16,"(1342, 12552, 2635, 2152, 25)"
1347,1.2.0.0/16,"(1347, 5006, 5715, 286, 42, 10886, 27)"
1351,1.2.0.0/16,"(1351, 49544, 2152, 25)"
1355,1.2.0.0/16,"(1355, 174, 10886, 27)"
1358,1.2.0.0/16,"(1358, 701, 3257, 10886, 27)"
